
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Alias           Add-AdlAnalyticsDataSource                         1.0.3      Az.DataLakeAnalytics
Alias           Add-AdlAnalyticsFirewallRule                       1.0.3      Az.DataLakeAnalytics
Alias           Add-AdlStoreFirewallRule                           1.3.0      Az.DataLakeStore
Alias           Add-AdlStoreItemContent                            1.3.0      Az.DataLakeStore
Alias           Add-AdlStoreTrustedIdProvider                      1.3.0      Az.DataLakeStore
Alias           Add-AdlStoreVirtualNetworkRule                     1.3.0      Az.DataLakeStore
Alias           Add-ASRReplicationProtectedItemDisk                6.7.1      Az.RecoveryServices
Alias           Add-AzAccount                                      2.16.0     Az.Accounts
Alias           Add-AzApplicationGatewayBackendHttpSettings        7.4.0      Az.Network
Alias           Add-AzIotHubDCL                                    2.7.5      Az.IotHub
Alias           Add-AzIotHubEHCG                                   2.7.5      Az.IotHub
Alias           Add-AzIotHubMsgEnrich                              2.7.5      Az.IotHub
Alias           Clear-AzSynapseSqlAdvancedThreatProtectionSetting  3.0.5      Az.Synapse
Alias           Clear-AzSynapseSqlPoolAdvancedThreatProtectionSet… 3.0.5      Az.Synapse
Alias           Clear-AzSynapseSqlPoolVulnerabilityAssessmentSett… 3.0.5      Az.Synapse
Alias           Clear-AzSynapseSqlVulnerabilityAssessmentSetting   3.0.5      Az.Synapse
Alias           Disable-AzStorageSoftDelete                        6.1.2      Az.Storage
Alias           Disable-AzSynapseSqlAdvancedThreatProtection       3.0.5      Az.Synapse
Alias           Edit-ASRRecoveryPlan                               6.7.1      Az.RecoveryServices
Alias           Edit-ASRRP                                         6.7.1      Az.RecoveryServices
Alias           Enable-AdlStoreKeyVault                            1.3.0      Az.DataLakeStore
Alias           Enable-AzStorageSoftDelete                         6.1.2      Az.Storage
Alias           Enable-AzSynapseSqlAdvancedThreatProtection        3.0.5      Az.Synapse
Alias           Export-AdlStoreChildItemProperties                 1.3.0      Az.DataLakeStore
Alias           Export-AdlStoreItem                                1.3.0      Az.DataLakeStore
Alias           Export-AzAsInstanceLog                             1.1.4      Az.AnalysisServices
Alias           Export-AzDataLakeStoreChildItemProperties          1.3.0      Az.DataLakeStore
Alias           Export-AzRedisEnterpriseCacheDatabase              1.2.0      Az.RedisEnterpriseCache
Alias           Export-AzureAsInstanceLog                          1.1.4      Az.AnalysisServices
Alias           Get-AdlAnalyticsAccount                            1.0.3      Az.DataLakeAnalytics
